"productname";"group";"n"
"roedvin, uspec.";"vine";1
"roulade, uspec.";"kager";1
"rugbroed, fuldkorn, importeret";"broed";1
"rugbroed, kun groft rugmel, med hele kerner, detailbageri";"broed";1
"rugbroed, moerkt, industrifremstillet";"broed";1
"salat, mayonnaise-, koed-";"empty";1
"samsoe, 30+";"fast_loebeost";1
"sandwich med kylling, salat og dressing, fastfood";"sandwiches";1
"skaerekage, mazarinkage";"kager";1
"skinke, kogt, konserves";"charcuterivarer";1
"skinkeost 30+ (smelteost med skinke)";"smelteost";1
"smaakage, klejne, industrifremstillet";"kiks_og_smaakager";1
"smaakage, makron";"kiks_og_smaakager";1
"snacks, ekstruderet, majsbasis";"snacks";1
"sojadrik, kommercielt tilberedt, ikke beriget";"groentsagsprodukter";1
"sojadrik, tilsat calcium";"andre_drikkevarer";1
"solsikkeolie";"vegetabilske_fedtstoffer";1
"spidskommen, raa";"fedtrig_frugt_og_froe";1
"spraengt nakke, grisekoed";"paalaegsvarer";1
"squash, alle typer, raa";"frugt_groentsager";1
"stenbider, raa";"saltvandsfisk";1
"sukker, brun farin";"sukker";1
"sukker, brunt roersukker";"sukker";1
"toerkage, kokosmakroner";"kager";1
"tomatketchup, staerk";"groentsagsprodukter";1
"tomatsuppe, spiseklar";"andre_sammensatte_foedevarer";1
"torsk, filet, raa";"saltvandsfisk";1
"torsk, rogn, roeget";"fiskeprodukter";1
"tun i olie, konserves";"fiskeprodukter";1
"tun, raa";"saltvandsfisk";1
"vaffelroer";"kiks_og_smaakager";1
"vaskemidler";"vaskemidler";1
"vindrue, groenne, raa";"kernefrugt";1
"vodka";"spiritus";1
"wienerbroed, kanelsnegl";"kager";1
"wienerbroed, kringle/stang";"kager";1
"yoghurt med kirsebaer";"syrnede_maelkeprodukter";1
"yoghurt med skovbaer";"syrnede_maelkeprodukter";1
