"nummer";"gruppe";"foodgroup";"custom_groups";"brand_group_stem";"brand_specific_stem";"generic_specific_stem";"generic_group_stem";"generic_type_stem";"generic_taste_stem";"specific_taste_stem";"processing_stem";"priority";"eco_stem";"light_stem";"unit";"lower_percent_match";"upper_percent_match";"price";"amount";"sum";"foodex2code";"fødevarenavn";"fødevaregruppe";"foodname";"foodgroup_eng";"foodgroupid";"energy_kj";"energy_kcal";"protein";"protein_from_amino_acids";"protein_labeling";"carbohydrate_by_difference";"available_carbohydrates";"available_carbohydrate_labelling";"dietary_fibre";"fat";"alcohol";"salt_labelling";"ash";"dry_matter";"water";"vitamin_a";"retinol";"beta_carotene";"vitamin_d";"vitamin_d3";"vitamin_d2";"25_hydroxy_vitamin_d3_";"25_hydroxy_vitamin_d2";"vitamin_e";"alpha_tocopherol";"beta_tocopherol";"gamma_tocopherol";"delta_tocopherol";"alpha_tocotrienol";"vitamin_k1";"thiamin_vitamin_b1_";"thiamine";"2_1_hydroxyethyl_thiamine";"riboflavin_vitamin_b2_";"niacin_equivalent";"niacin";"vitamin_b6";"pantothenic_acid";"biotin";"folate";"folate_free";"vitamin_b12";"vitamin_c";"ascorbic_acid";"dehydroascorbic_acid";"sodium";"potassium";"calcium";"magnesium";"rubidium";"iron";"copper";"zinc";"manganese";"chromium";"molybdenum";"cobalt";"selenium";"aluminum";"silicon";"boron";"phosphorus";"fluorine";"chloride";"bromine";"iodine";"sulfur";"nickel";"mercury";"arsenic";"cadmium";"lead";"tin";"fructose";"galactose";"glucose";"sum_monosaccharides";"lactose";"maltose";"sucrose";"sum_disaccharides";"maltotriose";"raffinose";"sum_sugars";"added_sugar";"free_sugars";"sorbitol";"mannitol";"inositol";"maltitol";"sum_sugar_alcohols";"starch";"cellulose";"lignin";"insoluble_dietary_fibers";"high_molecular_weight_soluble_dietary_fibre_";"low_molecular_weight_soluble_dietary_fibre_";"crude_fibre";"neutral_detergent_fibre";"l_lactic_acid";"d_lactic_acid";"lactic_acid";"citric_acid";"oxalic_acid";"malic_acid";"acetic_acid";"propionic_acid";"benzoic_acid";"sum_organic_acids";"c4_0";"c6_0";"c8_0";"c10_0";"c12_0";"c13_0";"c14_0";"c15_0";"c16_0";"c17_0";"c18_0";"c20_0";"c21_0";"c22_0";"c23_0";"c24_0";"c12_1_n_1";"c14_1_n_5";"c15_1_n_5";"c16_1_n_7";"c17_1_n_7";"c18_1_n_7";"c18_1_n_9";"c18_1_n_12";"c20_1_n_9";"c20_1_n_11";"c20_1_n_15";"c22_1_n_9";"c22_1_n_11";"c24_1_n_9";"c14_1_n_5_trans";"c16_1_n_7_trans";"c18_1_trans";"c20_1_trans";"c22_1_trans";"c18_2_n_6";"c18_2_conjugated";"c18_3_n_3";"c18_3_n_6";"c18_4_n_3";"c20_2_n_6";"c20_3_n_3";"c20_3_n_6";"c20_4_n_3";"c20_4_n_6";"c20_5_n_3";"c22_2_n_6";"c22_3_n_3";"c22_4_n_6";"c22_5_n_3";"c22_5_n_6";"c22_6_n_3";"c18_2_trans";"other_fatty_acids";"sum_saturated_fatty_acids";"sum_monounsaturated_fatty_acids";"sum_polyunsaturated_fatty_acids";"sum_trans_fatty_acids";"sum_fatty_acids_below_the_detection_limit";"sum_fatty_acids";"sum_n_3_fatty_acids";"sum_n_6_fatty_acids";"cholesterol";"nitrogen";"isoleucine";"leucine";"lysine";"methionine";"cystine";"phenylalanine";"tyrosine";"threonine";"tryptophan";"valine";"arginine";"histidine";"alanine";"aspartic_acid";"glutamic_acid";"glycine";"proline";"serine";"hydroxyproline";"ornithine";"histamine";"serotonin";"tyramine";"phenylethylamine";"putrescine";"cadaverine";"spermine";"spermidine";"sum_biogenic_amines";"waste";"nitrogen_conversion_factor";"fatty_acid_conversion_factor";"density";"match_score";"itemname";"itemnumber";"name";"total_items";"frida_name";"navn"
"1262";"groentsagsprodukter";"46";"vegetable products";"beauvais|heinz|graasten|baehncke|svansoe|gestus|budget|hellmans|easis";"empty";"ketchup";"empty";"tomat";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a044p";"tomatketchup";"sennep, ketchup, pesto o.l.";"tomato ketchup, bottled";"condiments";"181";"479";"113.8";"3";"2.198753561";"3";"21.7";"18.4";"18.4";"3.3";"2.4";"0";"2.725";"1.4";"28.5";"71.5";"49.91666667";"0";"599";"0";"0";NA;NA;NA;"1.5";"1.5";NA;NA;NA;NA;NA;"0.04";NA;NA;"0.05";"0.864";"0.6";"0.13";"0.25";"1.5";"5";"2";"0";"3.94";"3.94";NA;"1090";"376";"18.5";"18";NA;"0.6";"0.15";"0.2";"0.16";"5";"0";NA;"0.4";NA;NA;NA;"34.4";NA;NA;NA;"0.9";NA;"30";"0.1";"1";"2";"13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"17.3";"22.9";"22.9";NA;NA;NA;NA;NA;"1.1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.376938886";NA;"0.064380746";NA;NA;NA;NA;NA;NA;NA;NA;"0.021806382";NA;NA;"0.268945376";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1.0799351";NA;"0.10799351";NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.441319632";"0.290751758";"1.18792861";NA;NA;"1.92";"0.10799351";"1.0799351";"0";"0.48";"72";"100.8";"96";"22.08";"10.08";"76.8";"30.24";"72";"15.84";"76.8";"62.4";"48";"76.8";"369.6";"1200";"57.6";"62.4";"86.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"6.25";"0.8";NA;5.1;"beauvais kuloer";"05701018044059";"beauvais kuloer";1;"tomatketchup";"tomatketchup"
"1191";"margariner";"95";"butter, oil and dressings";"latta|becel";"empty";"minarin";"empty";"plante|vegetabi";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"null";"minarine, gennemsnit";"margariner";"margarine, (less than 50 % fat), average";"margarines";"95";"1520.7";"369.9";NA;NA;NA;NA;NA;NA;"0";"41.1";"0";NA;NA;NA;NA;NA;NA;NA;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.4";"0.4";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0.401491003";NA;"0.200745501";NA;"5.520501285";NA;"2.408946015";"0";NA;"0.100372751";NA;NA;NA;"0";NA;"0";NA;NA;"10.43876607";NA;NA;"0";NA;"0";NA;NA;NA;NA;"2.208200514";NA;NA;"16.66187661";NA;"0.802982005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;"0.301118252";"8.632056555";"10.43876607";"17.46485861";"2.208200514";NA;"39.045";"0.802982005";"16.66187661";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"6.38";"0.95";NA;5.1;"becel let omega 250g";"08712566406500";"becel let omega 250g";1;"minarine, gennemsnit";"minarine, gennemsnit"
"1191";"margariner";"95";"butter, oil and dressings";"latta|becel";"empty";"minarin";"empty";"plante|vegetabi";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"null";"minarine, gennemsnit";"margariner";"margarine, (less than 50 % fat), average";"margarines";"95";"1520.7";"369.9";NA;NA;NA;NA;NA;NA;"0";"41.1";"0";NA;NA;NA;NA;NA;NA;NA;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.4";"0.4";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0.401491003";NA;"0.200745501";NA;"5.520501285";NA;"2.408946015";"0";NA;"0.100372751";NA;NA;NA;"0";NA;"0";NA;NA;"10.43876607";NA;NA;"0";NA;"0";NA;NA;NA;NA;"2.208200514";NA;NA;"16.66187661";NA;"0.802982005";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;"0.301118252";"8.632056555";"10.43876607";"17.46485861";"2.208200514";NA;"39.045";"0.802982005";"16.66187661";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"6.38";"0.95";NA;5.1;"becel let omega 250g";"08719200059054";"becel let omega 250g";1;"minarine, gennemsnit";"minarine, gennemsnit"
"1616";"sandwiches";"131";"ready meals";"empty";"empty";"burger";"boef\b|\bboef";"salat|dress";"aioli|bacon|barbeq|bbq|buffal|butte|cayen|champig|chedd|chees|chili|chipot|chive|citr|cream|\bdild\b|foraarsloe|garlic|\bhvidloe|jalepe|karry|krydde|lemo|\bloeg\b|mushro|nacho|onion|\bost\b|paprik|peppe|pebbe|pikant|purloe|ranch|\bsalt\b|smoer|sour( |)cream|spicy|spring( |)oni|truff|troeff|urt\b|\burt|vinega";"empty";"empty";"1";"empty";"empty";"m";"empty";"empty";"empty";"empty";"empty";"null";"burger med medium boef, salat og dressing, fastfood";"sandwich, burger, hotdog, pita o.l.";"hamburger, medium patty, salad and dressing, fast food";"sandwich, burger, hotdog etc.";"131";"923.9316667";"220.8133333";"10.40625";NA;"10.40625";"20.82208333";"19.27208333";"19.27208333";"1.55";"11";"0";"0.95875";"1.555";"43.78333333";"56.21666667";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.087833333";NA;NA;"0.0835";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"383.5";"194.8333333";"36.61666667";"18.78333333";NA;"1.101666667";"0.076333333";"1.865";"0.192666667";NA;NA;NA;NA;NA;NA;NA;"100";NA;"597.8333333";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.021166667";"0.0065";"0";"0.019833333";"0.024";NA;"0.214666667";"0.005666667";"1.841666667";"0";"0.905";"0";NA;"0";NA;"0";NA;"0.023166667";NA;"0.237";"0";"0.195333333";"3.905";NA;"0";"0.047166667";NA;"0";"0";"0";NA;"0";"0.154833333";"0";"0";"1.518333333";"0";"0.338166667";"0.008333333";"0";"0";NA;NA;"0";"0";"0";NA;NA;NA;"0";NA;"0";"0.043";"0.0575";"3.0385";"4.407666667";"1.864833333";"0.197833333";NA;"9.566333333";"0.338166667";"1.526666667";NA;"1.665";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"6.25";"0.869666667";NA;0.2;"bechamel sau";"05712580573731";"bechamel sau";1;"burger med medium boef, salat og dressing, fastfood";"burger med medium boef, salat og dressing, fastfood"
"1665";"friske_aeg";"87";"eggs";"\bdanaeg";"empty";"\baeg (s|m|l|x)|\bslotsaeg|\bmorgenaeg|gaardaeg";"\baeg\b";"empty";"empty";"empty";"empty";"empty";"\boe.o[:alpha:]*\b";"empty";"l";"empty";"empty";"empty";"empty";"empty";"null";"aeg, hoene, oekologisk drift, raa";"friske aeg";"eggs, chicken, organic farming, raw";"fresh eggs";"87";"577.1175";"138.535";"12.34375";"11.31077953";"12.34375";"1.30875";"1.30875";"1.30875";"0";"9.325";"0";"0.3425";"0.885";"23.8625";"76.1375";"80.5";"80.5";NA;"1.7675";"1.3475";NA;"0.42";NA;"3.70625";"3.70625";NA;NA;NA;NA;NA;"0.08325";NA;NA;"0.455";"2.975666667";"0.079";"0.1065625";"1.6";"23.8625";NA;NA;"1.565";"0.2";NA;NA;"137";"131.375";"46.9375";"11.625";NA;"1.73125";"0.053875";"1.138125";"0.030375";"0.22875";NA;NA;"24.4375";NA;NA;NA;"176.125";NA;"197.6875";NA;"24.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0";NA;"0.023243012";"0";"1.881357455";NA;"0.695675464";"0.001557224";NA;NA;NA;NA;NA;NA;NA;"0.173947703";NA;"0.152088891";"3.074767892";NA;"0.022262538";NA;NA;NA;NA;NA;NA;NA;"0.019609489";NA;NA;"1.357611071";NA;"0.08172543";NA;"0";"0.010439169";NA;"0.010266144";"0.008074496";"0.127000279";"0.010439169";NA;NA;NA;"0";NA;"0.00836287";"0";"0.081321705";"2.601833154";"3.423067023";"1.613918628";"0.019609489";NA;"7.73975";"0.108601965";"1.505316664";"389.375";"1.975";"730.75";"1125.75";"967.75";"434.5";"256.75";"691.25";"553";"592.5";"173.8";"928.25";"809.75";"316";"770.25";"1362.75";"1501";"454.25";"493.75";"967.75";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";"6.25";"0.83";"1.035";0.2;"bella gomba";"05700002218216";"bella gomba";1;"aeg, hoene, oekologisk drift, raa";"aeg, hoene, oekologisk drift, raa"
"1164";"kornsorter";"28";"grains";"empty";"empty";"majs\b|\bmajs";"empty";"kerne|loes\b|\bloes";"empty";"empty";"konser|daase|glas";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a00zp#f02.a068p";"majs, kerner, konserves";"groentsagskonserves";"sweetcorn, kernels, canned";"canned vegetable products";"46";"427.9";"101.3";"3.1";"2.660090011";"3.1";"21";"18.5";"16.1";"2.5";"1.1";"0";"0.775";"1";"26.2";"73.8";"1.833333333";"0";"22";"0";"0";NA;NA;NA;"0.5";"0.5";NA;NA;NA;NA;"0";"0.05";NA;NA;"0.08";"1.530666667";"1.2";"0.2";"0.22";"0.5";"32";"9";"0";"5";"5";NA;"310";"200";"2.9";"23";NA;"0.6";"0.05";"0.6";NA;NA;NA;NA;"0.2";NA;NA;NA;"61.6";NA;NA;NA;"0.5";NA;"4.1";NA;NA;NA;NA;NA;"0.1";NA;"0.6";"0.7";NA;NA;"8.2";"8.2";NA;NA;"8.9";"7.324516785";"7.324516785";NA;NA;NA;NA;NA;"7.2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0";NA;"0.004";"0";"0.144";"0";"0.022";"0";NA;"0";NA;NA;NA;"0";"0";"0";"0";NA;"0.309";NA;NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;"0.515";NA;"0.018";NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;NA;"0";NA;"0";NA;NA;"0.17";"0.309";"0.533";NA;NA;"1.012";"0.018";"0.515";"0";"0.496";"114.08";"391.84";"84.32";"59.52";"49.6";"158.72";"119.04";"114.08";"19.84";"148.8";"128.96";"84.32";"233.12";"198.4";"639.84";"114.08";"277.76";"158.72";NA;NA;NA;"0.003";NA;NA;NA;NA;NA;NA;"0.003";"16";"6.25";"0.92";NA;2.1;"beloes's";"05701012275312";"beloes'";1;"majs, kerner, konserves";"majs, kerner, konserves"
"1777";"fast_loebeost";"13";"cheese";"empty";"empty";"gedeost";"empty";"fast\b|\bfast";"empty";"empty";"empty";"1";"empty";"empty";"empty";"45";"empty";"empty";"empty";"empty";NA;"gedeost, fast, 45+";"fast loebeost";"goat cheese, hard, 45% fidm.";"firm rennet cheese";"13";"1529.24";"368.88";"21.3125";NA;"21.3125";"1.6075";"1.6075";"1.6075";NA;"30.8";NA;"0.64";"3.58";"57.3";"42.7";"350";"350";NA;"0.42366";NA;NA;NA;NA;"0.49";"0.49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"256";"97";"820";"58.3";NA;"0.218";"0.05";"3.28";"0.039";"0.67";NA;NA;"13.8";NA;NA;NA;"570";NA;"523";NA;"72";NA;"3";NA;NA;NA;NA;NA;"0";"0";"0";NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.61";"0.67";"0.69";"2.51";"1.35";NA;"2.93";"0.293";"7.1";NA;"2.16";NA;NA;NA;NA;NA;NA;"0";NA;"0.205";NA;"0.169";"5.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.58";NA;NA;"0.6";"0.09755";"0.184";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.203";"0.108";"18.313";"6.074";"0.88155";"0.783";NA;"26.15955";"0.184";"0.6";"101.792";"3.41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.849336039";NA;0.1;"bilanx happy snax";"05700551220326";"bilanx happy snax";1;"gedeost, fast, 45+";"gedeost, fast, 45+"
"1777";"fast_loebeost";"13";"cheese";"empty";"empty";"gedeost";"empty";"fast\b|\bfast";"empty";"empty";"empty";"1";"empty";"empty";"empty";"45";"empty";"empty";"empty";"empty";NA;"gedeost, fast, 45+";"fast loebeost";"goat cheese, hard, 45% fidm.";"firm rennet cheese";"13";"1529.24";"368.88";"21.3125";NA;"21.3125";"1.6075";"1.6075";"1.6075";NA;"30.8";NA;"0.64";"3.58";"57.3";"42.7";"350";"350";NA;"0.42366";NA;NA;NA;NA;"0.49";"0.49";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"256";"97";"820";"58.3";NA;"0.218";"0.05";"3.28";"0.039";"0.67";NA;NA;"13.8";NA;NA;NA;"570";NA;"523";NA;"72";NA;"3";NA;NA;NA;NA;NA;"0";"0";"0";NA;"0";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.61";"0.67";"0.69";"2.51";"1.35";NA;"2.93";"0.293";"7.1";NA;"2.16";NA;NA;NA;NA;NA;NA;"0";NA;"0.205";NA;"0.169";"5.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.58";NA;NA;"0.6";"0.09755";"0.184";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.203";"0.108";"18.313";"6.074";"0.88155";"0.783";NA;"26.15955";"0.184";"0.6";"101.792";"3.41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.849336039";NA;0.1;"bilanx stix";"05710405062927";"bilanx stix";1;"gedeost, fast, 45+";"gedeost, fast, 45+"
"10042";"vaskemidler";"empty";"empty";"omo|neutral|biotex";"empty";"vaske(midl|saeb)";"flyden|pulver";"color|white|sport";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;"biotex 1,75l";"08710522447109";"biotex 1,75l";1;"vaskemidler";"vaskemidler"
"10042";"vaskemidler";"empty";"empty";"omo|neutral|biotex";"empty";"vaske(midl|saeb)";"flyden|pulver";"color|white|sport";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;"biotex 1,75l";"08710522447116";"biotex 1,75l";1;"vaskemidler";"vaskemidler"
"10013";"frugtsaft_og_juice";"54";"sugary drinks";"innoce|\bnu\b";"froosh";"smoo";"empty";"empty";"abriko|ananas|appl|appelsi|apric|banan|berry|blaab|blueber|baer|cacao|carro|cherr|cinnam|clement|cranb|citr|curra|drue|elderflow|exoti|eksotis|fersk|figen|fig|frugt|ginge|granataeb|\bgrape\b|grapefru|guava|guleroe|havtor|hinbae|honnin|honey|hyben|hyldeb|jordb|kakao|kanel|karam|kirseb|kiwi|klemint|lemo|lime|lingon|mandari|mang|melba|melon|mint|mix(ed | )berry|multi|mynt|orang|passionsfrug|passion(| )fruit|peach|pear|paer|pineappl|pink|pistac|pomegra|rabar|rasin|raspber|rhuba|ribs|rossin|skovb|solb|spinat|strawb|traneb|tropi|tutti( |)fruitti|tytteb|vanil|valnoed|vandmel|walnu|watermel|aebl";"empty";"empty";"empty";"empty";"light|0(|\+|\%)|lav\b|\blav|reducer|\blet|let\b|sukkerfri|free|minus|zero|sugarfree|minus|sf\b|\bsf|lite\b|\blite|max|diet";"empty";"empty";"empty";"empty";"empty";"empty";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"bki guld 400g";"05701115667007";"bki guld 400g";1;"frugtsmoothie, usoedet";"frugtsmoothie, usoedet"
"1079";"kaffe_te_kakao_og_chokolade";"107";"non-sugary drinks";"empty";"nesquik|oboy|cocio|mathilde";"\bkakao\b|\bcocoa\b|kakaodrik";"drik|instant";"mael\b|\bmael|mil\b|\bmil";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a03hh#f04.a02pj";"kakao, instant, med maelk, pulver";"kaffe, te og kakao";"cocoa, instant, med milk, powder";"coffee, tea and cocoa";"107";"1617.3";"381.6";"5.5";"3.980784597";"5.5";"82.5";"82";"73.6";"0.5";"3.4";"0";"0.675";"5";"96.4";"3.6";"0";"0";"0";"0";"0";NA;NA;NA;"0.1";"0.1";NA;NA;NA;NA;"0";"0.06";NA;NA;"0.04";"1.878666667";"0.5";"0.02";"0.893";NA;"23";"9";"0";"0";"0";NA;"270";"1470";"33";"155";NA;"7";"1.1";"1.9";"0.77";"14";NA;NA;"1.5";NA;NA;NA;"190";NA;NA;NA;"30";NA;NA;NA;NA;NA;NA;NA;"0";NA;"0";"0";NA;NA;"70.3";"70.3";NA;NA;"70.3";"62.9";"62.9";NA;NA;NA;NA;NA;"3.3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1.47";"0.83";"0.07";NA;NA;"3.23";"0";"0.07";"0";"0.88";"189.2";"299.2";"198";"82.72";"101.2";"220";"149.6";"198";"82.72";"290.4";"347.6";"82.72";"228.8";"501.6";"849.2";"220";"290.4";"290.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"6.25";"0.95";"0.52";3.1;"bki instant";"05701115363282";"bki instant";1;"kakao, instant, med maelk, pulver";"kakao, instant, med maelk, pulver"
