"name";"total_products_matched";"total_items_matched"
"nestle gold";1;1
"new york h baseball";1;1
"no grow danfugesand";1;1
"nordthy muslibar";1;1
"nr.\"8\"lys";1;1
"oego eral grey br.";1;1
"oego pommes";1;1
"oego verdure wholegra";1;1
"oego. okse";1;1
"oejenmaske";1;1
"oeko cr. fraiche";1;1
"oeko gm appel. 0,85l";1;1
"oeko havre cuis 500ml";1;1
"oeko hyldebl/in 0,33l";1;1
"oeko loegis. creme";1;1
"oeko loegis. kaernem";1;1
"oeko loegis. van. 1kg";1;1
"oeko peabutte";1;1
"oeko roede kidney 400g";1;1
"oeko tyk";1;1
"oeko. pommes";1;1
"oeko. rodfrugter";1;1
"oeko. skummet";1;1
"oeko.fk.durum";1;1
"oeko.raw licious";1;1
"oksespidsbry";1;1
"omega";1;1
"omhu haandpillede rej";1;1
"omo vaskemiddel";1;1
"optaendingsbriketter";1;1
"opvaskboerste";1;1
"organix ban./j. hje.";1;1
"original";1;1
"otrivin";1;1
"p-taerte";1;1
"paagen subs";1;1
"paaske pale ale";1;1
"paaskeskum";1;1
"pakketape di";1;1
"palet";1;1
"pannaa nn daekkeservie";1;1
"paprika";1;1
"paradiso kongeasparg";1;1
"paraguayos";1;1
"paraguayos bakke";1;1
"party krymmel";1;1
"pasqua";1;1
"paul mas estate";1;1
"perlekunst";1;1
"perlissimo peach";1;1
"petit lys";1;1
"pex refill";1;1
"pick! fish saltede k";1;1
"pickwick";1;1
"pige sok";1;1
"pincet skraa";1;1
"pinot grigio de vali";1;1
"piske l";1;1
"plaeneklipperoli";1;1
"poly swing mous.ekst";1;1
"potte cm";1;1
"pottemuld 40l";1;1
"president comté";1;1
"price cremefra";1;1
"price hamburge";1;1
"price mozzarel";1;1
"price parboile";1;1
"price partypoel";1;1
"prima donna roed";1;1
"princip fromaggi";1;1
"princip past";1;1
"pro";1;1
"pro haandledskinnev";1;1
"prolight 10w";1;1
"pulled pork";1;1
"puslespil";1;1
"pynteartikler";1;1
"quality str.";1;1
"ratatouille";1;1
"red kidney";1;1
"rema 9v";1;1
"rema bodylo";1;1
"rema chili";1;1
"rema chunks";1;1
"rema kids shamp";1;1
"rema lommelet";1;1
"rema oekolog";1;1
"rema reng.s";1;1
"rema tandpa";1;1
"ret nemt steaks";1;1
"rfsu aqua glide";1;1
"rhododendron cm";1;1
"rib eye 360g";1;1
"ribsgelé";1;1
"rice n'go jord 175g";1;1
"ristorante salame";1;1
"rockstar ori";1;1
"rockstar original";1;1
"rodfrugter";1;1
"rodmix kg";1;1
"roegeo. oval10%";1;1
"root retoucher";1;1
"roser 35cm";1;1
"roser stilke 40cm";1;1
"rosmarin";1;1
"rossini vafler";1;1
"roundup ready l re";1;1
"royal greenland kutt";1;1
"royal shandy";1;1
"rulledug";1;1
"russisk sala";1;1
"safe skaermrens 60ml";1;1
"san mazano";1;1
"santino blanco";1;1
"savbuk metal .";1;1
"savin skyllemiddel f";1;1
"sc skinkstrimler";1;1
"sch refres face ton";1;1
"schwarzbrot";1;1
"seasoning";1;1
"semper wiener 44cl";1;1
"sereno roastogsalt pe";1;1
"serviet /flag";1;1
"serviet cm";1;1
"sh diamond shine";1;1
"shine dishwash brush";1;1
"signature taste";1;1
"sikkerhedsbrille";1;1
"simply choc. crispy";1;1
"skalddyrsdr.";1;1
"skalrejer";1;1
"skip.pipes";1;1
"skiver mild";1;1
"skjorte";1;1
"skorper kardemomme";1;1
"skovlyst alk.fri";1;1
"skovlyst hoest oeko";1;1
"smartbox biograftur for";1;1
"smartbox smuk";1;1
"sminke/frisoer hoved";1;1
"smurt grov";1;1
"snoede lys";1;1
